"unique_id","survey_id","country","incentive","participation_context","duration","start_date","end_date","university","eligibility_ug","eligibility_stats","degree_level_maths","degree_level_maths_specify","degree_year","age","gender","math_edu_grade","math_edu_grade_sat","math_edu_grade_act","math_edu_grade_gcse","math_edu_grade_a_level","math_edu_mths","stats_edu_grade","stats_edu_grade_edited","stats_edu_first_module","stats_edu_module_1","stats_edu_grade_1","stats_edu_grade_2","all_stats_modules","is_university","is_stats_module","average_overall_grade","is_stats_module_code","mod_start_date","mod_end_date","software_excel","software_jamovi","software_jasp","software_r","software_sas","software_spss_amos","software_spss_stats","software_none","software_other","software_specify","freq_or_bayes","topic_covariates","topic_algebra","topic_anova","topic_bayes_factors","topic_bayes_theorem","topic_bootstrapping","topic_calculus","topic_casual_inference","topic_causality","topic_conf_ints","topic_correlation","topic_data_wrangling","topic_data_vis","topic_distributions","topic_descriptive_stats","topic_effect_sizes","topic_exp_design","topic_factor_analysis","topic_moderation","topic_linear_models","topic_logistic_reg","topic_mediation","topic_meta_analysis","topic_assumptions","topic_multi_comparisons","topic_multi_regression","topic_non_para","topic_nhst","topic_ols","topic_open_science","topic_philosophy","topic_probability","topic_psychometrics","topic_qual","topic_reliability","topic_regression","topic_rep_crisis","topic_report_writing","topic_robust_tests","topic_power","topic_software","topic_ttest","STARS_TestAnxiety","STARS_InterpretationAnxiety","STARS_HelpAnxiety","STARS_Total","STICSA_Cognitive","STICSA_Somatic","STICSA_Total","RTAS_Worry","RTAS_Tension","RTAS_TestIrrelevantThinking","RTAS_BodilySymptoms","RTAS_Total","BFNE_Total","LSAS_SocialInteraction","LSAS_Performance","LSAS_Total","IUS_Prospective","IUS_Inhibitory","IUS_Total","CAS_creativity","CAS_noncreativity","NGSE_Mean","ATMS_Persistence_Total"
"164d2091","amsterdam","Netherlands","Credits","Remotely, in own time",1595,"4/3/2021","4/3/2021","University of Amsterdam","Yes","Yes","Yes (please specify)","Statistics","2nd Year","26+","Male/Man","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","No","Research Methods & Statistics (Introductory course in the first year)","7","7.5","Basic Skills in Programming, Statistics, and Mathematics, Latent Variable Models",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,20,8,49,23,23,46,11,12,6,10,39,18,25,27,52,12,15,27,8,12,3.75,29
"18f0f1ab","amsterdam","Netherlands","Credits","Remotely, in own time",1355,"8/3/2021","8/3/2021","University of Amsterdam","Yes","Yes","No",NA,"1st Year","18-21","Female/Woman","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","Yes",NA,NA,NA,"Research Methods & Statistics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,23,4,51,14,20,34,11,21,10,12,54,15,18,26,44,12,10,22,14,15,4,26
"1b3d51d8","amsterdam","Netherlands","Credits","Remotely, in own time",2711,"8/3/2021","8/3/2021","University of Amsterdam","Yes","Yes","No",NA,"1st Year","26+","Female/Woman","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","No","Functions and Complex Numbers",NA,NA,"Research Methods & Statistics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,15,8,38,14,13,27,9,10,5,10,34,14,17,19,36,11,10,21,16,15,4.25,29
"1c737b9b","amsterdam","Netherlands","Credits","Remotely, in own time",2377,"5/3/2021","5/3/2021","University of Amsterdam","Yes","Yes","No",NA,"2nd Year","22-25","Female/Woman","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","No","Quantitative methods 1 (different uni)","8",NA,"Scientific and Statistical Reasoning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,22,8,50,27,17,44,17,18,11,15,61,40,23,27,50,17,21,38,15,22,3,20
"1ca8f370","amsterdam","Netherlands","Credits","Remotely, in own time",1294,"5/3/2021","5/3/2021","University of Amsterdam","Yes","Yes","No",NA,"1st Year","18-21","Female/Woman","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","No","Research Methods & Statistics","8",NA,"Research Methods & Statistics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,14,8,31,24,27,51,14,13,5,13,45,32,43,46,89,20,14,34,22,9,3.5,32
"1d7a6791","amsterdam","Netherlands","Credits","Remotely, in own time",1416,"7/3/2021","7/3/2021","University of Amsterdam","Yes","Yes","No",NA,"1st Year","22-25","Male/Man","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","Yes",NA,NA,NA,"Research Methods & Statistics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,31,15,70,32,24,56,13,13,10,11,47,40,25,27,52,20,22,42,22,13,2.125,27
"1da67907","amsterdam","Netherlands","Credits","Remotely, in own time",3487,"7/3/2021","7/3/2021","University of Amsterdam","Yes","Yes","No",NA,"1st Year","18-21","Female/Woman","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","No","RMS","7","0","Research Methods & Statistics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,30,15,77,26,15,41,12,18,11,12,53,31,23,30,53,12,11,23,24,29,2.625,27
"211ff18b","amsterdam","Netherlands","Credits","Remotely, in own time",1677,"5/3/2021","5/3/2021","University of Amsterdam","Yes","Yes","No",NA,"1st Year","18-21","Male/Man","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","No","Research Methods and Statistics",NA,NA,"Research Methods & Statistics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,27,13,66,26,26,52,18,20,12,11,61,33,31,39,70,16,15,31,27,20,3.75,19
"25fbf6bb","amsterdam","Netherlands","Credits","Remotely, in own time",1714,"10/3/2021","10/3/2021","University of Amsterdam","Yes","Yes","No",NA,"1st Year","18-21","Female/Woman","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","No","Research methods and Statistics","6","0","Research Methods & Statistics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,20,13,59,18,16,34,16,16,11,17,60,16,22,26,48,13,12,25,23,16,3.625,27
"27fa0ff6","amsterdam","Netherlands","Credits","Remotely, in own time",3621,"6/3/2021","6/3/2021","University of Amsterdam","Yes","Yes","No",NA,"1st Year","22-25","Male/Man","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","Yes",NA,NA,NA,"Research Methods & Statistics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,19,12,51,18,26,44,15,14,11,12,52,22,21,25,46,14,16,30,14,26,4.375,33
"281bfd79","amsterdam","Netherlands","Credits","Remotely, in own time",1389,"4/3/2021","4/3/2021","University of Amsterdam","Yes","Yes","No",NA,"1st Year","22-25","Female/Woman","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","Yes",NA,NA,NA,"Research Methods & Statistics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,31,12,74,32,17,49,26,23,17,9,75,40,30,37,67,14,22,36,25,16,2.375,22
"2a0cf315","amsterdam","Netherlands","Credits","Remotely, in own time",2776,"9/3/2021","9/3/2021","University of Amsterdam","Yes","Yes","No",NA,"1st Year","18-21","Female/Woman","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","Yes",NA,NA,NA,"Research Methods & Statistics, Behavioral Data Science",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,23,11,65,29,18,47,24,21,10,18,73,33,29,32,61,16,13,29,14,24,3.25,14
"326f8b8b","amsterdam","Netherlands","Credits","Remotely, in own time",3199,"9/3/2021","9/3/2021","University of Amsterdam","Yes","Yes","No",NA,"1st Year","18-21","Male/Man","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","No","Research methods & Statistics",NA,NA,"Research Methods & Statistics, Behavioral Data Science",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,13,5,36,18,17,35,9,11,7,10,37,16,22,25,47,13,9,22,8,8,4.5,29
"37356959","amsterdam","Netherlands","Credits","Remotely, in own time",2465,"5/3/2021","5/3/2021","University of Amsterdam","Yes","Yes","No",NA,"1st Year","18-21","Female/Woman","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","No","Research methods and Statistics","7",NA,"Research Methods & Statistics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,18,12,57,26,18,44,16,18,18,10,62,21,26,27,53,23,16,39,26,16,4.625,18
"38c9fcb0","amsterdam","Netherlands","Credits","Remotely, in own time",1675,"7/3/2021","7/3/2021","University of Amsterdam","Yes","Yes","No",NA,"1st Year","18-21","Female/Woman","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","No","research methods & Statistics for psychology first year 1st semester","8.5",NA,"Research Methods & Statistics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,31,17,79,31,32,63,25,21,10,19,75,38,34,38,72,22,23,45,33,12,3.125,28
"3f341301","amsterdam","Netherlands","Credits","Remotely, in own time",1914,"6/3/2021","6/3/2021","University of Amsterdam","Yes","Yes","No",NA,"1st Year","18-21","Female/Woman","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","Yes",NA,NA,NA,"Research Methods & Statistics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,36,11,76,26,18,44,12,13,6,14,45,18,30,33,63,16,17,33,22,13,3.625,24
"3f3d37f6","amsterdam","Netherlands","Credits","Remotely, in own time",1597,"8/3/2021","8/3/2021","University of Amsterdam","Yes","Yes","No",NA,"1st Year","18-21","Female/Woman","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","No","Research Methods & Statistics","9.5",NA,"Behavioral Data Science",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,14,4,32,13,17,30,7,9,5,10,31,14,25,31,56,6,7,13,16,8,4,26
"3f684759","amsterdam","Netherlands","Credits","Remotely, in own time",1428,"4/3/2021","4/3/2021","University of Amsterdam","Yes","Yes","Yes (please specify)","Statistics","1st Year","18-21","Female/Woman","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","Yes",NA,NA,NA,"Research Methods & Statistics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,16,6,47,26,12,38,14,18,5,16,53,29,24,34,58,11,12,23,23,9,3.375,16
"3f940fc8","amsterdam","Netherlands","Credits","Remotely, in own time",1008,"8/3/2021","8/3/2021","University of Amsterdam","Yes","Yes","No",NA,"1st Year","18-21","Female/Woman","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","No","none","0",NA,"Research Methods & Statistics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,18,5,39,15,16,31,13,14,8,13,48,15,16,20,36,10,12,22,18,17,2.875,23
"408aad31","amsterdam","Netherlands","Credits","Remotely, in own time",2814,"6/3/2021","6/3/2021","University of Amsterdam","Yes","Yes","No",NA,"1st Year","22-25","Male/Man","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","No","Research Methods and Statistics","95",NA,"Research Methods & Statistics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,13,6,32,18,17,35,14,12,7,10,43,14,19,23,42,14,10,24,15,9,4.125,35
"4453f81d","amsterdam","Netherlands","Credits","Remotely, in own time",2969,"6/3/2021","6/3/2021","University of Amsterdam","Yes","Yes","No",NA,"1st Year","18-21","Male/Man","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","Not Administered","No","research methods and Statistics","7.5",NA,"Behavioral Data Science",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,22,7,50,22,21,43,10,11,11,9,41,9,17,21,38,11,6,17,13,10,3.75,24
